Dataset,Method,nDCG@10,MAP@1000,MRR@10,Delta_nDCG@10,Delta_MAP@1000,Delta_MRR@10,GatedCount,GatedPct,CE_Actions,Tau
TREC_DL_20,Base@k0,0.5660682341895371,0.64095117235897,0.8787037037037038,,,,,,,
TREC_DL_20,Base@k1,0.5660682341895371,0.5033473081828451,0.8787037037037038,,,,,,,
TREC_DL_20,CE-All,0.6091586444225527,0.5284069214149535,0.9012345679012346,0.04309041023301563,-0.11254425094401654,0.02253086419753081,,,,
TREC_DL_20,Ours(RA-SCEv4),0.5693299645856296,0.5075961228715099,0.8787037037037038,0.003261730396092455,-0.13335504948746013,0.0,16.0,29.62962962962963,12.0,0.982301938533783
